"SOC Code","Name","Url","Calculated Risk %","Voted Risk %","Votes","Is Group","Group SOC Codes"
"47-5012.00","Rotary Drill Operators, Oil and Gas","https://willrobotstakemyjob.com/rotary-drill-operators-oil-and-gas","48.5","56.7","15","false",""
"47-5071.00","Roustabouts, Oil and Gas","https://willrobotstakemyjob.com/roustabouts-oil-and-gas","62.7","59.1","11","false",""
"53-5011.00","Sailors and Marine Oilers","https://willrobotstakemyjob.com/sailors-and-marine-oilers","58.2","40.3","158","false",""
"41-9031.00","Sales Engineers","https://willrobotstakemyjob.com/sales-engineers","43.8","32.0","194","false",""
"11-2022.00","Sales Managers","https://willrobotstakemyjob.com/sales-managers","28.8","36.8","608","false",""
"41-4012.00","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","https://willrobotstakemyjob.com/sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products","70.5","49.8","105","false",""
"41-4011.00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","https://willrobotstakemyjob.com/sales-representatives-wholesale-and-manufacturing-technical-and-scientific-products","63.0","39.1","247","false",""
"51-7041.00","Sawing Machine Setters, Operators, and Tenders, Wood","https://willrobotstakemyjob.com/sawing-machine-setters-operators-and-tenders-wood","100.0","77.8","9","false",""
"19-3034.00","School Psychologists","https://willrobotstakemyjob.com/school-psychologists","25.6","26.9","147","false",""
"13-1161.01","Search Marketing Strategists","https://willrobotstakemyjob.com/search-marketing-strategists","59.0","57.6","112","false",""
"25-2031.00","Secondary School Teachers, Except Special and Career/Technical Education","https://willrobotstakemyjob.com/secondary-school-teachers-except-special-and-career-technical-education","16.3","28.7","587","false",""
"43-6014.00","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","https://willrobotstakemyjob.com/secretaries-and-administrative-assistants-except-legal-medical-and-executive","94.8","72.6","194","false",""
"41-3031.00","Securities, Commodities, and Financial Services Sales Agents","https://willrobotstakemyjob.com/securities-commodities-and-financial-services-sales-agents","65.4","52.7","91","false",""
"49-2098.00","Security and Fire Alarm Systems Installers","https://willrobotstakemyjob.com/security-and-fire-alarm-systems-installers","47.0","30.4","51","false",""
"33-9032.00","Security Guards","https://willrobotstakemyjob.com/security-guards","41.6","54.8","519","false",""
"13-1199.07","Security Management Specialists","https://willrobotstakemyjob.com/security-management-specialists","18.2","45.2","21","false",""
"11-3013.01","Security Managers","https://willrobotstakemyjob.com/security-managers","0.0","28.4","52","false",""
"47-4091.00","Segmental Pavers","https://willrobotstakemyjob.com/segmental-pavers","46.0","64.6","12","false",""
"25-3021.00","Self-Enrichment Teachers","https://willrobotstakemyjob.com/self-enrichment-teachers","44.2","38.8","40","false",""
"51-9141.00","Semiconductor Processing Technicians","https://willrobotstakemyjob.com/semiconductor-processing-technicians","100.0","62.0","25","false",""
"51-9012.00","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","https://willrobotstakemyjob.com/separating-filtering-clarifying-precipitating-and-still-machine-setters-operators-and-tenders","85.8","85.4","12","false",""
"47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","https://willrobotstakemyjob.com/septic-tank-servicers-and-sewer-pipe-cleaners","56.6","35.7","21","false",""
"47-5013.00","Service Unit Operators, Oil and Gas","https://willrobotstakemyjob.com/service-unit-operators-oil-and-gas","40.7","43.3","15","false",""
"27-1027.00","Set and Exhibit Designers","https://willrobotstakemyjob.com/set-and-exhibit-designers","13.0","34.2","46","false",""
"51-6051.00","Sewers, Hand","https://willrobotstakemyjob.com/sewers-hand","94.5","73.7","78","false",""
"51-6031.00","Sewing Machine Operators","https://willrobotstakemyjob.com/sewing-machine-operators","100.0","71.3","47","false",""
"39-5093.00","Shampooers","https://willrobotstakemyjob.com/shampooers","69.8","66.1","14","false",""
"47-2211.00","Sheet Metal Workers","https://willrobotstakemyjob.com/sheet-metal-workers","47.0","47.2","63","false",""
"53-5031.00","Ship Engineers","https://willrobotstakemyjob.com/ship-engineers","46.8","32.6","72","false",""
"43-5071.00","Shipping, Receiving, and Inventory Clerks","https://willrobotstakemyjob.com/shipping-receiving-and-inventory-clerks","86.4","69.7","61","false",""
"51-6041.00","Shoe and Leather Workers and Repairers","https://willrobotstakemyjob.com/shoe-and-leather-workers-and-repairers","100.0","51.4","36","false",""
"51-6042.00","Shoe Machine Operators and Tenders","https://willrobotstakemyjob.com/shoe-machine-operators-and-tenders","100.0","91.5","121","false",""
"49-9097.00","Signal and Track Switch Repairers","https://willrobotstakemyjob.com/signal-and-track-switch-repairers","60.7","32.1","21","false",""
"39-5094.00","Skincare Specialists","https://willrobotstakemyjob.com/skincare-specialists","45.4","33.3","84","false",""
"51-3023.00","Slaughterers and Meat Packers","https://willrobotstakemyjob.com/slaughterers-and-meat-packers","100.0","69.7","47","false",""
"11-9151.00","Social and Community Service Managers","https://willrobotstakemyjob.com/social-and-community-service-managers","5.8","25.3","74","false",""
"21-1093.00","Social and Human Service Assistants","https://willrobotstakemyjob.com/social-and-human-service-assistants","18.0","29.8","88","false",""
"19-4061.00","Social Science Research Assistants","https://willrobotstakemyjob.com/social-science-research-assistants","64.1","50.0","62","false",""
"25-1113.00","Social Work Teachers, Postsecondary","https://willrobotstakemyjob.com/social-work-teachers-postsecondary","0.0","25.0","22","false",""
"19-3041.00","Sociologists","https://willrobotstakemyjob.com/sociologists","16.1","22.5","188","false",""
